iter	RMSE
476	0.1921210206
477	0.1919392465
478	0.191905209
479	0.1919030039
480	0.1918576898
481	0.1918186458
482	0.1917995617
483	0.19172935
484	0.1916367744
485	0.1916006581
486	0.1915602646
487	0.191536632
488	0.1912197911
489	0.1912032553
490	0.1911706904
491	0.1911350531
492	0.1910626495
493	0.1910143072
494	0.1910100622
495	0.1908522376
496	0.1908309275
497	0.1907678454
498	0.190711367
499	0.1906487422
500	0.1906399643
501	0.190637036
502	0.1904320198
503	0.1904197212
504	0.1903960175
505	0.1903761542
506	0.1903230801
507	0.1900271235
508	0.189971173
509	0.1899279335
510	0.1899030972
511	0.1898264973
512	0.1897996909
513	0.189763704
514	0.1895377557
515	0.1894787137
516	0.1894745932
517	0.1894507715
518	0.1894007869
519	0.1892989111
520	0.1892740374
521	0.1890104956
522	0.1890072218
523	0.1889922966
524	0.1889693522
525	0.1889600656
526	0.1889410334
527	0.1889303666
528	0.1888525513
529	0.1888126255
530	0.1887932125
531	0.1887835838
532	0.1887802295
533	0.1887685569
534	0.1886397218
535	0.1886170031
536	0.1885669577
537	0.1882914689
538	0.1880957207
539	0.1880242609
540	0.1880156751
541	0.1878737746
542	0.1876714182
543	0.1876170186
544	0.1875986181
545	0.1875315163
546	0.1874611179
547	0.1874520552
548	0.1872454938
549	0.1871256669
550	0.1870655353
551	0.1869908663
552	0.1869351307
553	0.1864049146
554	0.1863603861
555	0.1863516972
556	0.1861604418
557	0.1861422092
558	0.186129949
559	0.1861098399
560	0.1860583173
561	0.1860404622
562	0.1860328946
563	0.1859993995
564	0.185697153
565	0.1854374724
566	0.1854229641
567	0.1854039364
568	0.1854030308
569	0.185273785
570	0.1852261039
571	0.1851721602
572	0.1850863225
573	0.1848194715
574	0.1847364545
575	0.1846270342
576	0.1844237283
577	0.1843467125
578	0.1842574304
579	0.1842436816
580	0.1842318225
581	0.18421051
582	0.1841926003
583	0.1841209728
584	0.1841044584
585	0.1840761013
586	0.1840228392
587	0.1838845673
588	0.1838728836
589	0.1837918747
590	0.1837892632
591	0.1837565667
592	0.1837102919
593	0.183693813
594	0.1835852744
595	0.1834788584
596	0.1834689138
597	0.1834529035
598	0.1834490841
599	0.1834254646
600	0.1833955155
601	0.1833787525
602	0.1833555154
603	0.1832048875
604	0.183157498
605	0.1831211389
606	0.1830399463
607	0.1829053295
608	0.182655433
609	0.1825930977
610	0.1825605413
611	0.182511982
612	0.1824284936
613	0.1823910278
614	0.1823160673
615	0.1821504748
616	0.1821167007
617	0.1821004994
618	0.1820461928
619	0.1820406124
620	0.1820190138
621	0.1820134504
622	0.1819740838
623	0.1819488791
624	0.1818880396
625	0.1818805474
626	0.1818644754
627	0.1818287915
628	0.1818027456
629	0.181790438
630	0.1817418878
631	0.1816852067
632	0.1816648855
633	0.1815671145
634	0.1815552492
635	0.1815050646
636	0.1814993212
637	0.1814943433
638	0.181487622
639	0.1814549697
640	0.1814249616
641	0.181424065
642	0.1814191913
643	0.1814153648
644	0.1813802404
645	0.1813599801
646	0.1813508024
647	0.1811900882
648	0.1811735146
649	0.1811463346
650	0.1811042081
651	0.1810031964
652	0.1809763685
653	0.1809611137
654	0.1809580991
655	0.1809252604
656	0.1808936091
657	0.1808684028
658	0.1808550428
659	0.1807371171
660	0.1807007527
661	0.1806292607
662	0.1803050253
663	0.1802668314
664	0.1802204338
665	0.1801897332
666	0.1801362742
667	0.1800961135
668	0.1800590527
669	0.1800244222
670	0.1799763045
671	0.1799382472
672	0.179891345
673	0.1798543612
674	0.1798228004
675	0.179792227
676	0.1797461963
677	0.1796071205
678	0.1795987545
679	0.1795800221
680	0.1795679934
681	0.179490725
682	0.1794858154
683	0.1794637139
684	0.1794419617
685	0.179416706
686	0.1793914986
687	0.1793705089
688	0.1793551072
689	0.1793444483
690	0.1793372
691	0.1793095771
692	0.1793035506
693	0.1792944547
694	0.1792939132
695	0.1792571596
696	0.1792088048
697	0.1791269452
698	0.1791155813
699	0.1790952324
700	0.1789863681
701	0.1789794615
702	0.178936279
703	0.1789351561
704	0.1789157105
705	0.1789064046
706	0.1785706214
707	0.1785627884
708	0.1780602169
709	0.1780404853
710	0.1780082843
711	0.1779566264
712	0.1779333555
713	0.1779100512
714	0.1778747654
715	0.1778248317
716	0.1778174445
717	0.1778100108
718	0.1777901494
719	0.1777776921
720	0.177726453
721	0.1777209073
722	0.177715563
723	0.1776964702
724	0.1776668513
725	0.1775034322
726	0.1774891948
727	0.177478077
728	0.1774549775
729	0.1774547154
730	0.1774431632
731	0.1774354859
732	0.1774008494
733	0.1773830422
734	0.1773644569
735	0.1773632774
736	0.1773332995
737	0.1772062516
738	0.1771968745
739	0.1771722075
740	0.1771711093
741	0.1768462544
742	0.1768290532
743	0.1767984964
744	0.1766199436
745	0.1765960466
746	0.1764920612
747	0.1764674557
748	0.1764422933
749	0.1764166905
750	0.1761879178
751	0.1761802702
752	0.1761603321
753	0.17611283
754	0.1760963144
755	0.176075681
756	0.1760523265
757	0.1760309999
758	0.1760168804
759	0.1759938141
760	0.1759714754
761	0.1758832728
762	0.1758582315
763	0.1758485473
764	0.1758340793
765	0.1758197233
766	0.1757824383
767	0.175720393
768	0.1757006903
769	0.1756428015
770	0.1756090448
771	0.1754982788
772	0.1754903257
773	0.1754788209
774	0.175462578
775	0.1754336188
776	0.1754141171
777	0.1754098418
778	0.1754025003
779	0.1753981637
780	0.175389675
781	0.1753784442
782	0.1753745532
783	0.1753599642
784	0.1753334765
785	0.175326968
786	0.1753201696
787	0.1753023941
788	0.1752882153
789	0.1752853172
790	0.1752738102
791	0.1751741628
792	0.175129906
793	0.1751268889
794	0.175115462
795	0.1751062422
796	0.1750987239
797	0.1750936292
798	0.175083802
799	0.1750835425
800	0.1750712384
801	0.1750636288
802	0.175037999
803	0.1750368993
804	0.1750252434
805	0.1750179969
806	0.1750163864
807	0.1749790793
808	0.1749650032
809	0.1749356243
810	0.1749038408
811	0.1748848341
812	0.1748626009
813	0.1748282139
814	0.174816063
815	0.1747852151
816	0.1747642403
817	0.1747627365
818	0.1747520003
819	0.1747380362
820	0.1747316885
821	0.1746161323
822	0.1746121243
823	0.1745835028
824	0.1745782437
825	0.1744823989
826	0.1744757403
827	0.1744717307
828	0.174450609
829	0.1744117893
830	0.1743969869
831	0.1740634746
832	0.1740524056
833	0.1740373794
834	0.1740324591
835	0.1739984066
836	0.1739835376
837	0.1739703819
838	0.1739634255
839	0.173924849
840	0.1739108145
841	0.1738250335
842	0.1735147308
843	0.1732825025
844	0.1732520081
845	0.17324934
846	0.173227298
847	0.1730140518
848	0.1730117281
849	0.1729763699
850	0.1729296142
851	0.1729198584
852	0.1728322144
853	0.1728156959
854	0.1724067733
855	0.1723743494
856	0.172367757
857	0.1723603316
858	0.1723537158
859	0.17233919
860	0.1723272801
861	0.1723033326
862	0.1722903919
863	0.1722677084
864	0.1722359197
865	0.1722167229
866	0.1722034095
867	0.1721944967
868	0.1721549111
869	0.1721470109
870	0.1721456175
871	0.1721408627
872	0.1721353233
873	0.1721320309
874	0.1720671918
875	0.1720537692
876	0.1720323128
877	0.1720233784
878	0.1720037257
879	0.1719899372
880	0.1719869793
881	0.1719768172
882	0.1719644655
883	0.1719310513
884	0.1719192611
885	0.1719091295
886	0.171894936
887	0.1718794898
888	0.1718598653
889	0.1718215482
890	0.1718181142
891	0.1717282541
892	0.1717248483
893	0.1716993028
894	0.1716807187
895	0.1716762183
896	0.1716447298
897	0.1716152796
898	0.171448029
899	0.1714392706
900	0.1714372349
901	0.1714275398
902	0.1713977415
903	0.1713800366
904	0.1713625961
905	0.1713365565
906	0.1711943526
907	0.1711820445
908	0.1711713256
909	0.1711277505
910	0.1711175819
911	0.1710088825
912	0.1709858594
913	0.1708605481
914	0.1708568631
915	0.1708513492
916	0.1707992922
917	0.170796297
918	0.1707569874
919	0.1707233446
920	0.1707150655
921	0.1707120059
922	0.1707076615
923	0.1707032999
924	0.1706878718
925	0.1706727356
926	0.1706697921
927	0.1706588039
928	0.1706578761
929	0.1706435711
930	0.1706403732
931	0.1706312649
932	0.1706223331
933	0.1706000732
934	0.1705929058
935	0.1704273553
936	0.1704197092
937	0.1704191187
938	0.1704133012
939	0.1703811233
940	0.1703661785
941	0.1703573426
942	0.1703331257
943	0.1703290703
944	0.1703200944
945	0.1703128676
946	0.1700874364
947	0.1700734893
948	0.1700650569
949	0.170050958
950	0.1700443706
951	0.1700379027
952	0.1700050238
953	0.16996902
954	0.1699584534
955	0.1699238015
956	0.1699210965
957	0.1699158915
958	0.1699118664
959	0.1698960693
960	0.1698910337
961	0.1698889231
962	0.1698796876
963	0.169873099
964	0.1698570681
965	0.1697887264
966	0.1697610877
967	0.1697513156
968	0.1697506934
969	0.1697505471
970	0.1697420538
971	0.1697280194
972	0.1696887553
973	0.1696851227
974	0.1696738011
975	0.1696707095
976	0.1696543529
977	0.1696492757
978	0.1696199177
979	0.1696171581
980	0.1696068672
981	0.16959255
982	0.1695806595
983	0.1695700718
984	0.1694843182
985	0.1694748556
986	0.1694626503
987	0.1694519138
988	0.1694315193
989	0.169418303
990	0.169374556
991	0.1693487241
992	0.1692829184
993	0.1692056208
994	0.1691988176
995	0.1691913927
996	0.1691879758
997	0.1691782241
998	0.1691743397
999	0.1691630424
