iter	Passed	Remaining
182	12395	55337
183	12440	55172
184	12510	55112
185	12612	55198
186	12682	55137
187	12787	55232
188	12874	55245
189	12910	55038
190	12948	54842
191	13025	54814
192	13082	54700
193	13107	54457
194	13146	54271
195	13248	54347
196	13298	54205
197	13362	54124
198	13437	54085
199	13487	53951
200	13549	53862
201	13600	53727
202	13640	53554
203	13736	53598
204	13794	53497
205	13879	53496
206	14005	53655
207	14082	53620
208	14173	53641
209	14243	53581
210	14341	53628
211	14424	53614
212	14479	53497
213	14559	53474
214	14660	53528
215	14701	53361
216	14774	53310
217	14868	53334
218	14914	53188
219	14965	53060
220	15060	53087
221	15108	52949
222	15129	52716
223	15167	52545
224	15247	52519
225	15330	52502
226	15399	52439
227	15427	52238
228	15498	52181
229	15538	52021
230	15573	51843
231	15619	51706
232	15707	51705
233	15765	51607
234	15800	51434
235	15840	51281
236	15888	51151
237	15930	51005
238	15959	50815
239	16055	50841
240	16116	50758
241	16149	50583
242	16207	50489
243	16290	50474
244	16347	50376
245	16456	50440
246	16537	50415
247	16582	50281
248	16611	50102
249	16646	49940
250	16731	49926
251	16801	49872
252	16888	49865
253	16980	49873
254	17069	49870
255	17153	49853
256	17200	49726
257	17276	49687
258	17393	49762
259	17487	49771
260	17534	49646
261	17573	49500
262	17626	49393
263	17730	49430
264	17780	49316
265	17825	49187
266	17887	49107
267	17959	49054
268	18020	48970
269	18100	48938
270	18182	48910
271	18251	48848
272	18282	48685
273	18366	48663
274	18463	48676
275	18536	48625
276	18647	48672
277	18697	48559
278	18804	48595
279	18900	48600
280	18957	48506
281	19037	48471
282	19150	48520
283	19227	48473
284	19334	48504
285	19369	48354
286	19393	48180
287	19497	48201
288	19578	48166
289	19649	48107
290	19745	48108
291	19810	48033
292	19874	47957
293	19940	47884
294	20031	47871
295	20119	47851
296	20193	47798
297	20293	47804
298	20405	47841
299	20524	47889
300	20597	47833
301	20707	47860
302	20785	47813
303	20872	47786
304	20966	47777
305	21046	47733
306	21170	47789
307	21304	47865
308	21379	47810
309	21467	47783
310	21558	47762
311	21613	47661
312	21696	47620
313	21808	47644
314	21877	47574
315	21995	47609
316	22062	47535
317	22095	47386
318	22173	47336
319	22237	47254
320	22326	47225
321	22428	47224
322	22514	47190
323	22586	47125
324	22701	47149
325	22794	47128
326	22904	47140
327	23004	47131
328	23131	47176
329	23218	47141
330	23342	47179
331	23383	47047
332	23420	46912
333	23504	46868
334	23590	46828
335	23636	46709
336	23759	46743
337	23851	46715
338	23924	46649
339	24040	46666
340	24109	46593
341	24206	46573
342	24340	46622
343	24428	46585
344	24540	46591
345	24630	46555
346	24681	46446
347	24725	46324
348	24809	46278
349	24888	46221
350	24975	46179
351	25068	46149
352	25196	46181
353	25305	46179
354	25431	46206
355	25506	46140
356	25617	46139
357	25681	46054
358	25800	46067
359	25912	46065
360	25974	45977
361	26104	46007
362	26200	45976
363	26302	45956
364	26386	45905
365	26496	45898
366	26538	45773
367	26608	45697
368	26727	45704
369	26804	45640
370	26921	45643
371	27032	45635
372	27115	45580
373	27234	45585
374	27310	45518
375	27420	45506
376	27511	45462
377	27619	45448
378	27730	45436
379	27833	45412
380	27944	45400
381	28036	45358
382	28171	45382
383	28245	45310
384	28364	45309
385	28480	45303
386	28583	45276
387	28660	45206
388	28765	45181
389	28855	45132
390	28963	45111
391	29078	45101
392	29197	45095
393	29288	45047
394	29373	44989
395	29512	45014
396	29586	44938
397	29710	44939
398	29761	44828
399	29866	44799
400	29965	44760
401	30069	44730
402	30172	44696
403	30275	44663
404	30390	44647
405	30467	44575
406	30592	44572
407	30686	44525
408	30792	44494
409	30839	44378
410	30942	44343
411	31049	44312
412	31128	44242
413	31255	44240
414	31362	44210
415	31492	44210
416	31622	44210
417	31734	44185
418	31807	44106
419	31913	44071
420	32002	44013
421	32109	43978
422	32211	43938
423	32289	43865
424	32393	43825
425	32469	43750
426	32563	43697
427	32696	43697
428	32767	43613
429	32875	43579
430	32948	43497
431	33060	43467
432	33142	43398
433	33217	43320
434	33296	43246
435	33379	43179
436	33476	43128
437	33542	43038
438	33610	42951
439	33708	42902
440	33799	42843
441	33879	42770
442	33956	42694
443	34061	42654
444	34149	42590
445	34274	42573
446	34378	42531
447	34510	42521
448	34591	42450
449	34715	42430
450	34797	42359
451	34901	42313
452	34973	42230
453	35102	42215
454	35178	42136
455	35287	42096
456	35400	42062
457	35505	42017
458	35586	41944
459	35711	41922
460	35784	41839
461	35909	41816
462	36013	41769
463	36083	41682
464	36177	41623
465	36274	41567
466	36363	41502
467	36464	41450
468	36551	41383
469	36657	41336
470	36732	41255
471	36830	41200
472	36906	41120
473	37000	41060
474	37085	40989
475	37186	40936
476	37261	40854
477	37353	40792
478	37446	40730
479	37577	40708
480	37660	40636
481	37765	40585
482	37866	40531
483	37950	40460
484	38022	40373
485	38128	40324
486	38241	40283
487	38316	40200
488	38431	40160
489	38545	40119
490	38646	40063
491	38744	40004
492	38868	39972
493	38947	39893
494	39048	39836
495	39129	39761
496	39250	39724
497	39330	39646
498	39460	39619
499	39534	39534
500	39630	39472
501	39719	39403
502	39827	39352
503	39945	39311
504	40021	39228
505	40131	39179
506	40214	39103
507	40287	39018
508	40395	38966
509	40471	38884
510	40581	38834
511	40698	38790
512	40788	38721
513	40889	38662
514	40983	38596
515	41079	38531
516	41150	38444
517	41274	38405
518	41348	38321
519	41448	38259
520	41523	38176
521	41640	38130
522	41736	38066
523	41817	37986
524	41934	37940
525	42010	37857
526	42089	37776
527	42186	37711
528	42284	37648
529	42401	37601
530	42512	37549
531	42625	37497
532	42700	37412
533	42779	37331
534	42881	37270
535	43000	37224
536	43079	37142
537	43196	37094
538	43277	37014
539	43369	36944
540	43481	36890
541	43595	36839
542	43716	36793
543	43804	36718
544	43911	36660
545	44014	36598
546	44108	36528
547	44182	36442
548	44281	36376
549	44372	36304
550	44483	36248
551	44609	36204
552	44684	36118
553	44807	36072
554	44904	36004
555	45004	35938
556	45100	35869
557	45201	35804
558	45278	35720
559	45383	35658
560	45462	35575
561	45556	35504
562	45681	35458
563	45759	35374
564	45867	35313
565	45938	35224
566	46035	35155
567	46164	35111
568	46256	35038
569	46344	34961
570	46416	34873
571	46515	34805
572	46625	34745
573	46706	34663
574	46809	34598
575	46883	34511
576	46993	34450
577	47091	34381
578	47203	34322
579	47281	34238
580	47359	34153
581	47441	34073
582	47580	34032
583	47676	33961
584	47775	33891
585	47866	33816
586	47986	33762
587	48061	33675
588	48155	33602
589	48258	33535
590	48364	33470
591	48496	33423
592	48580	33342
593	48674	33268
594	48766	33193
595	48887	33138
596	48998	33075
597	49107	33012
598	49200	32937
599	49292	32861
600	49401	32797
601	49476	32710
602	49572	32637
603	49654	32555
604	49791	32508
605	49906	32447
606	50002	32374
607	50107	32306
608	50213	32238
609	50302	32160
610	50381	32075
611	50496	32014
612	50581	31933
613	50679	31860
614	50755	31773
615	50839	31692
616	50934	31617
617	51040	31549
618	51150	31483
619	51221	31393
620	51309	31314
621	51404	31239
622	51543	31191
623	51656	31126
624	51777	31066
625	51889	31000
626	51993	30931
627	52107	30866
628	52202	30790
629	52314	30724
630	52418	30653
631	52548	30598
632	52641	30520
633	52743	30448
634	52820	30361
635	52942	30300
636	53017	30212
637	53130	30146
638	53247	30081
639	53376	30024
640	53476	29950
641	53564	29869
642	53671	29798
643	53765	29721
644	53865	29646
645	53984	29582
646	54061	29495
647	54165	29423
648	54246	29338
649	54351	29266
650	54475	29204
651	54561	29121
652	54681	29057
653	54756	28969
654	54881	28906
655	54974	28827
656	55113	28772
657	55189	28684
658	55331	28631
659	55442	28561
660	55560	28494
661	55639	28408
662	55715	28319
663	55815	28244
664	55941	28180
665	56045	28106
666	56119	28017
667	56244	27953
668	56321	27866
669	56449	27803
670	56526	27715
671	56656	27653
672	56745	27571
673	56859	27501
674	56944	27417
675	57030	27334
676	57107	27246
677	57192	27162
678	57305	27091
679	57384	27004
680	57487	26929
681	57566	26841
682	57668	26765
683	57772	26690
684	57873	26613
685	57963	26531
686	58037	26442
687	58179	26383
688	58280	26306
689	58394	26235
690	58464	26144
691	58564	26066
692	58652	25983
693	58723	25892
694	58816	25811
695	58899	25726
696	59003	25649
697	59097	25569
698	59178	25483
699	59280	25405
700	59357	25318
701	59460	25240
702	59544	25156
703	59651	25080
704	59761	25006
705	59870	24931
706	60000	24865
707	60092	24783
708	60185	24702
709	60259	24613
710	60385	24545
711	60464	24457
712	60597	24391
713	60685	24308
714	60811	24239
715	60884	24149
716	61006	24079
717	61084	23991
718	61181	23910
719	61262	23824
720	61377	23750
721	61505	23681
722	61580	23593
723	61706	23523
724	61797	23440
725	61903	23362
726	62028	23292
727	62142	23217
728	62254	23142
729	62345	23059
730	62404	22964
731	62475	22873
732	62559	22787
733	62667	22710
734	62747	22623
735	62873	22552
736	62974	22472
737	63048	22383
738	63155	22305
739	63239	22219
740	63368	22149
741	63496	22078
742	63571	21989
743	63657	21903
744	63760	21824
745	63848	21739
746	63966	21664
747	64045	21576
748	64176	21506
749	64258	21419
750	64372	21343
751	64460	21258
752	64582	21184
753	64658	21095
754	64751	21011
755	64839	20926
756	64979	20858
757	65076	20776
758	65155	20688
759	65251	20605
760	65356	20525
761	65451	20442
762	65551	20361
763	65672	20286
764	65749	20197
765	65859	20118
766	65951	20034
767	66077	19960
768	66153	19871
769	66260	19792
770	66341	19704
771	66437	19621
772	66538	19539
773	66615	19450
774	66702	19365
775	66806	19284
776	66920	19206
777	67029	19126
778	67129	19044
779	67228	18961
780	67338	18882
781	67463	18806
782	67556	18722
783	67673	18644
784	67781	18564
785	67866	18477
786	67971	18396
787	68098	18321
788	68174	18231
789	68264	18146
790	68344	18058
791	68442	17974
792	68553	17894
793	68631	17806
794	68714	17718
795	68806	17633
796	68922	17554
797	69043	17477
798	69156	17397
799	69271	17317
800	69349	17229
801	69471	17151
802	69552	17063
803	69668	16983
804	69784	16904
805	69873	16818
806	69975	16735
807	70060	16648
808	70185	16570
809	70274	16484
810	70392	16404
811	70506	16324
812	70622	16244
813	70735	16163
814	70845	16081
815	70922	15992
816	71039	15912
817	71135	15827
818	71227	15741
819	71318	15655
820	71407	15568
821	71549	15493
822	71632	15405
823	71768	15329
824	71848	15240
825	71959	15158
826	72063	15074
827	72179	14993
828	72273	14908
829	72387	14826
830	72487	14741
831	72616	14662
832	72691	14573
833	72803	14490
834	72882	14401
835	72976	14316
836	73083	14232
837	73173	14145
838	73289	14063
839	73367	13974
840	73480	13892
841	73579	13807
842	73678	13721
843	73772	13635
844	73886	13553
845	73982	13467
846	74054	13376
847	74155	13291
848	74238	13203
849	74356	13121
850	74468	13038
851	74544	12949
852	74660	12866
853	74781	12784
854	74906	12703
855	75010	12618
856	75125	12535
857	75201	12445
858	75300	12360
859	75389	12272
860	75502	12189
861	75601	12103
862	75689	12015
863	75788	11929
864	75861	11839
865	76010	11761
866	76094	11673
867	76175	11584
868	76269	11497
869	76384	11413
870	76484	11327
871	76583	11241
872	76671	11153
873	76752	11064
874	76848	10978
875	76936	10890
876	77014	10801
877	77137	10718
878	77218	10629
879	77323	10544
880	77400	10454
881	77500	10368
882	77592	10281
883	77709	10197
884	77846	10115
885	77944	10028
886	78073	9946
887	78186	9861
888	78295	9775
889	78410	9691
890	78543	9608
891	78625	9519
892	78727	9433
893	78813	9344
894	78940	9261
895	79050	9175
896	79143	9087
897	79258	9002
898	79340	8913
899	79470	8830
900	79561	8742
901	79656	8654
902	79744	8566
903	79854	8480
904	79955	8393
905	80056	8306
906	80150	8218
907	80286	8134
908	80395	8048
909	80509	7962
910	80591	7873
911	80705	7787
912	80785	7698
913	80886	7610
914	80982	7522
915	81091	7436
916	81216	7351
917	81317	7263
918	81461	7179
919	81536	7090
920	81671	7005
921	81752	6916
922	81859	6828
923	81983	6743
924	82083	6655
925	82205	6569
926	82330	6483
927	82417	6394
928	82494	6304
929	82619	6218
930	82723	6130
931	82850	6044
932	82942	5956
933	83069	5870
934	83174	5782
935	83270	5693
936	83347	5603
937	83451	5515
938	83530	5426
939	83643	5338
940	83716	5248
941	83805	5160
942	83903	5071
943	84012	4983
944	84122	4896
945	84198	4806
946	84279	4716
947	84385	4628
948	84482	4540
949	84585	4451
950	84671	4362
951	84767	4273
952	84877	4185
953	84989	4098
954	85093	4009
955	85201	3921
956	85290	3832
957	85406	3744
958	85491	3655
959	85595	3566
960	85673	3476
961	85753	3387
962	85843	3298
963	85935	3209
964	86048	3120
965	86129	3031
966	86229	2942
967	86351	2854
968	86433	2765
969	86581	2677
970	86680	2588
971	86805	2500
972	86909	2411
973	87039	2323
974	87133	2234
975	87251	2145
976	87327	2055
977	87450	1967
978	87544	1877
979	87668	1789
980	87775	1700
981	87896	1611
982	87970	1521
983	88073	1432
984	88157	1342
985	88282	1253
986	88380	1164
987	88455	1074
988	88583	985
989	88667	895
990	88766	806
991	88852	716
992	88992	627
993	89063	537
994	89131	447
995	89249	358
996	89360	268
997	89453	179
998	89538	89
999	89612	0
